no.;longitude;latitude
2433;-61.5891;-23.222456
2434;-61.53626;-23.330824
2435;-61.48332;-23.43916
2436;-61.43028;-23.54747
2437;-61.377144;-23.655756
2438;-61.323917;-23.764013
2439;-61.270588;-23.872244
2440;-61.21715;-23.980452
2441;-61.16361;-24.088633
2442;-61.109962;-24.196787
2443;-61.056217;-24.304916
2444;-61.00237;-24.413017
2445;-60.948414;-24.521095
2446;-60.89435;-24.629156
2447;-60.84017;-24.737188
2448;-60.785908;-24.84518
2449;-60.731533;-24.95315
2450;-60.67705;-25.06109
2451;-60.622456;-25.16901
2452;-60.56775;-25.276909
2453;-60.512936;-25.384768
2454;-60.458;-25.49259
2455;-60.402954;-25.600386
2456;-60.3478;-25.70815
2457;-60.292538;-25.81588
2458;-60.23716;-25.923584
2459;-60.181664;-26.031263
2460;-60.126053;-26.138908
2461;-60.070328;-26.246529
2462;-60.014484;-26.354122
2463;-59.958523;-26.461687
2464;-59.902447;-26.56922
2465;-59.84626;-26.67673
2466;-59.789948;-26.7842
2467;-59.7335;-26.89164
2468;-59.676933;-26.999046
2469;-59.620247;-27.10642
2470;-59.56345;-27.213758
2471;-59.50653;-27.321062
2472;-59.44948;-27.428343
2473;-59.392307;-27.535593
2474;-59.335007;-27.64281
2475;-59.277576;-27.749998
2476;-59.22002;-27.857153
2477;-59.16234;-27.96427
2478;-59.10452;-28.071362
2479;-59.046574;-28.178417
2480;-58.988503;-28.285429
2481;-58.9303;-28.392399
2482;-58.871967;-28.49934
2483;-58.813484;-28.606264
2484;-58.754868;-28.713156
2485;-58.696125;-28.820005
2486;-58.63726;-28.926805
2487;-58.578255;-29.033575
2488;-58.519108;-29.140312
2489;-58.459816;-29.247011
2490;-58.40039;-29.353678
2491;-58.340824;-29.460312
2492;-58.281116;-29.566914
2493;-58.22127;-29.673473
2494;-58.16128;-29.779991
2495;-58.101147;-29.886473
2496;-58.040867;-29.99293
2497;-57.980434;-30.09936
2498;-57.91986;-30.205748
2499;-57.85915;-30.31208
2500;-57.79829;-30.418379
2501;-57.73728;-30.52464
2502;-57.676132;-30.63085
2503;-57.614826;-30.737024
2504;-57.553364;-30.84317
2505;-57.491737;-30.949286
2506;-57.429962;-31.055355
2507;-57.368046;-31.161385
2508;-57.305973;-31.267372
2509;-57.243744;-31.373316
2510;-57.18137;-31.479181
2511;-57.118835;-31.58501
2512;-57.05613;-31.690836
2513;-56.993267;-31.796627
2514;-56.93024;-31.902372
2515;-56.86705;-32.008068
2516;-56.803696;-32.11372
2517;-56.740177;-32.219334
2518;-56.676495;-32.32491
2519;-56.612648;-32.43044
2520;-56.548637;-32.535927
2521;-56.484463;-32.641373
2522;-56.420113;-32.746777
2523;-56.355595;-32.85213
2524;-56.29091;-32.957443
2525;-56.226048;-33.062714
2526;-56.161015;-33.167946
2527;-56.095802;-33.273132
2528;-56.030422;-33.37826
2529;-55.964863;-33.483337
2530;-55.899128;-33.58837
2531;-55.83322;-33.693375
2532;-55.76714;-33.798336
2533;-55.700867;-33.90324
2534;-55.6344;-34.0081
2535;-55.567757;-34.112907
2536;-55.500935;-34.21767
2537;-55.433933;-34.32238
2538;-55.36675;-34.427044
2539;-55.299374;-34.53167
2540;-55.231815;-34.636246
2541;-55.164066;-34.74077
2542;-55.096127;-34.84523
2543;-55.027996;-34.949642
2544;-54.959667;-35.054016
2545;-54.891144;-35.15834
2546;-54.82243;-35.262615
2547;-54.75352;-35.36684
2548;-54.684418;-35.47102
2549;-54.615116;-35.575138
2550;-54.54562;-35.6792
2551;-54.475925;-35.78321
2552;-54.406017;-35.887173
2553;-54.335903;-35.991093
2554;-54.265587;-36.094955
2555;-54.195076;-36.198757
2556;-54.124363;-36.302505
2557;-54.053432;-36.406204
2558;-53.982277;-36.50986
2559;-53.91092;-36.61346
2560;-53.839355;-36.717
2561;-53.76759;-36.82048
2562;-53.695602;-36.923904
2563;-53.623398;-37.02727
2564;-53.550976;-37.13058
2565;-53.478336;-37.233837
2566;-53.405483;-37.337036
2567;-53.33241;-37.440178
2568;-53.259106;-37.543262
2569;-53.185574;-37.64629
2570;-53.111824;-37.74926
2571;-53.037846;-37.85217
2572;-52.963646;-37.955013
2573;-52.889214;-38.057808
2574;-52.814552;-38.16055
2575;-52.73966;-38.26323
2576;-52.664536;-38.36584
2577;-52.589184;-38.468384
2578;-52.51359;-38.57087
2579;-52.437767;-38.67329
2580;-52.361702;-38.775646
2581;-52.285397;-38.87795
2582;-52.20885;-38.98021
2583;-52.132065;-39.0824
2584;-52.05503;-39.184513
2585;-51.977753;-39.286552
2586;-51.900227;-39.38853
2587;-51.822453;-39.490444
2588;-51.744427;-39.59229
2589;-51.66615;-39.694073
2590;-51.58763;-39.795803
2591;-51.508858;-39.89747
2592;-51.429817;-39.999058
2593;-51.350513;-40.100582
2594;-51.270958;-40.20204
2595;-51.191147;-40.303417
2596;-51.111073;-40.404724
2597;-51.030735;-40.505966
2598;-50.95014;-40.607155
2599;-50.86928;-40.708267
2600;-50.788143;-40.809307
2601;-50.70673;-40.91028
2602;-50.62505;-41.011177
2603;-50.543106;-41.112007
2604;-50.460884;-41.21277
2605;-50.378384;-41.31345
2606;-50.295593;-41.41406
2607;-50.21252;-41.514595
2608;-50.129185;-41.61505
2609;-50.045567;-41.71543
2610;-49.961662;-41.815742
2611;-49.877476;-41.915974
2612;-49.793;-42.016132
2613;-49.708233;-42.116215
2614;-49.623173;-42.216217
2615;-49.537823;-42.316143
2616;-49.452175;-42.41599
2617;-49.36623;-42.515755
2618;-49.279987;-42.615444
2619;-49.19345;-42.715057
2620;-49.106613;-42.814598
2621;-49.01947;-42.914055
2622;-48.93202;-43.013428
2623;-48.844257;-43.112717
2624;-48.75619;-43.211926
2625;-48.66782;-43.31105
2626;-48.579132;-43.41009
2627;-48.490124;-43.50905
2628;-48.4008;-43.607914
2629;-48.31116;-43.706703
2630;-48.221207;-43.805405
2631;-48.130936;-43.90402
2632;-48.04033;-44.00255
2633;-47.94939;-44.10099
2634;-47.85813;-44.199345
2635;-47.76655;-44.29762
2636;-47.674637;-44.39581
2637;-47.582386;-44.4939
2638;-47.489803;-44.5919
2639;-47.39688;-44.689808
2640;-47.30362;-44.787624
2641;-47.210026;-44.885353
2642;-47.11608;-44.98299
2643;-47.02179;-45.080532
2644;-46.92715;-45.17798
2645;-46.832165;-45.275333
2646;-46.736828;-45.37259
2647;-46.641132;-45.46975
2648;-46.545086;-45.566814
2649;-46.448673;-45.66379
2650;-46.35191;-45.760666
2651;-46.25478;-45.857445
2652;-46.15729;-45.95412
2653;-46.059433;-46.0507
2654;-45.961212;-46.147182
2655;-45.862617;-46.24357
2656;-45.76365;-46.339844
2657;-45.66431;-46.436012
2658;-45.56459;-46.53208
2659;-45.46449;-46.62805
2660;-45.364;-46.723923
2661;-45.263138;-46.81968
2662;-45.161896;-46.915337
2663;-45.060265;-47.010883
2664;-44.958244;-47.106327
2665;-44.855835;-47.201668
2666;-44.75303;-47.296898
2667;-44.64981;-47.392014
2668;-44.54619;-47.487015
2669;-44.442173;-47.581913
2670;-44.33776;-47.6767
2671;-44.232937;-47.77138
2672;-44.12771;-47.865944
2673;-44.022068;-47.960392
2674;-43.91601;-48.05473
2675;-43.809536;-48.148952
2676;-43.702644;-48.243057
2677;-43.59533;-48.337044
2678;-43.4876;-48.430904
2679;-43.379436;-48.524647
2680;-43.27085;-48.61828
2681;-43.161835;-48.711792
2682;-43.052387;-48.805183
2683;-42.942505;-48.898453
2684;-42.832184;-48.991604
2685;-42.72142;-49.08463
2686;-42.610218;-49.177536
2687;-42.49857;-49.270317
2688;-42.386467;-49.362965
2689;-42.273903;-49.455482
2690;-42.160892;-49.547874
2691;-42.04744;-49.64014
2692;-41.93353;-49.732277
2693;-41.819157;-49.824287
2694;-41.704323;-49.916183
2695;-41.589024;-50.007946
2696;-41.47325;-50.09956
2697;-41.35701;-50.191036
2698;-41.24029;-50.282383
2699;-41.123085;-50.37359
2700;-41.00539;-50.464657
2701;-40.88723;-50.55559
2702;-40.7686;-50.646404
2703;-40.64948;-50.737076
2704;-40.529858;-50.82759
2705;-40.40974;-50.91796
2706;-40.289127;-51.008194
2707;-40.16802;-51.09829
2708;-40.046406;-51.188244
2709;-39.924297;-51.278046
2710;-39.801685;-51.367702
2711;-39.678562;-51.457214
2712;-39.55493;-51.546574
2713;-39.430798;-51.63579
2714;-39.306133;-51.724854
2715;-39.180935;-51.813763
2716;-39.055206;-51.902515
2717;-38.92896;-51.991123
2718;-38.802197;-52.079567
2719;-38.674904;-52.167854
2720;-38.547062;-52.255997
2721;-38.41868;-52.34398
2722;-38.289753;-52.431805
2723;-38.160305;-52.519463
2724;-38.03031;-52.606964
2725;-37.899765;-52.694298
2726;-37.768658;-52.781475
2727;-37.636993;-52.868484
2728;-37.504772;-52.955326
2729;-37.371994;-53.042
2730;-37.238647;-53.12851
2731;-37.10473;-53.214848
2732;-36.970238;-53.30101
2733;-36.835182;-53.387005
2734;-36.699554;-53.472824
2735;-36.563347;-53.558475
2736;-36.42656;-53.64395
2737;-36.289196;-53.729256
2738;-36.151237;-53.814377
2739;-36.01269;-53.89932
2740;-35.873554;-53.98408
2741;-35.73381;-54.06866
2742;-35.593468;-54.153057
