Country or Territory;Station Name;WMO Station Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual 
RUSSIAN FEDERATION (ASIA);BARNAUL;29838;1961-1990;Mean Monthly Value;mm;23.8;19.5;18.8;25.2;39.9;44.8;60.5;50.2;28.7;51.1;34.6;26.3;423.4
RUSSIAN FEDERATION (ASIA);MINUSINSK;29866;1961-1990;Mean Monthly Value;mm;9.6;6.3;5.5;14.0;35.9;52.0;65.5;59.0;42.4;26.8;12.6;11.7;341.3
RUSSIAN FEDERATION (ASIA);VITIM;30054;1961-1990;Mean Monthly Value;mm;27.0;16.0;14.4;16.8;34.2;51.6;54.9;61.6;44.3;36.8;37.7;34.4;429.7
RUSSIAN FEDERATION (ASIA);KIRENSK;30230;1961-1990;Mean Monthly Value;mm;19.0;13.3;9.8;14.8;33.7;43.4;69.9;62.8;40.0;25.4;27.3;27.1;386.5
RUSSIAN FEDERATION (ASIA);BRATSK;30309;1961-1990;Mean Monthly Value;mm;13.7;10.7;10.5;17.2;30.5;42.0;62.0;63.3;40.0;22.1;21.1;20.8;353.9
RUSSIAN FEDERATION (ASIA);CARA;30372;1961-1990;Mean Monthly Value;mm;3.4;3.2;4.3;14.3;37.2;72.7;69.0;70.6;47.1;16.2;5.3;4.2;347.5
RUSSIAN FEDERATION (ASIA);CULMAN/NERIUGRI;30393;1961-1990;Mean Monthly Value;mm;15.2;10.9;15.0;29.8;46.7;87.3;98.2;89.1;62.5;37.4;22.8;18.1;533.0
RUSSIAN FEDERATION (ASIA);NIZNEANGARSK;30433;1961-1990;Mean Monthly Value;mm;16.5;13.3;11.0;17.5;29.2;36.2;62.5;61.5;41.9;23.4;20.5;16.5;350.0
RUSSIAN FEDERATION (ASIA);KALAKAN;30469;1961-1990;Mean Monthly Value;mm;3.0;2.8;4.6;14.8;31.8;75.9;94.2;88.7;50.8;17.1;7.0;5.1;395.8
RUSSIAN FEDERATION (ASIA);ZIGALOVO;30521;1961-1990;Mean Monthly Value;mm;11.7;7.8;6.5;9.7;22.2;45.9;74.1;73.2;34.3;16.2;17.1;18.5;337.2
RUSSIAN FEDERATION (ASIA);BOGDARIN;30554;1961-1990;Mean Monthly Value;mm;1.4;1.7;2.3;11.6;23.0;66.1;106.3;85.2;38.1;9.6;5.2;2.6;353.1
RUSSIAN FEDERATION (ASIA);UST-BARGUZIN;30635;1961-1990;Mean Monthly Value;mm;8.8;5.6;4.6;12.2;20.5;38.8;76.5;59.0;44.2;25.5;35.0;40.8;371.5
RUSSIAN FEDERATION (ASIA);MOGOCA;30673;1961-1990;Mean Monthly Value;mm;3.2;4.2;7.2;16.8;31.5;83.5;110.2;105.3;42.2;14.6;8.7;5.6;433.0
RUSSIAN FEDERATION (ASIA);SKOVORODINO;30692;1961-1990;Mean Monthly Value;mm;4.1;3.7;8.4;21.2;37.8;80.0;109.8;90.0;58.3;17.2;10.3;6.3;447.1
RUSSIAN FEDERATION (ASIA);IRKUTSK;30710;1961-1990;Mean Monthly Value;mm;12.0;8.5;12.8;18.9;32.9;61.9;120.1;82.6;50.2;29.9;18.3;19.1;467.2
RUSSIAN FEDERATION (ASIA);CITA/KADALA;30758;1961-1990;Mean Monthly Value;mm;2.1;2.6;3.1;9.5;23.6;58.6;103.2;80.6;38.1;10.6;5.8;4.7;342.5
RUSSIAN FEDERATION (ASIA);ULAN-UDE/MUHINO;30823;1961-1990;Mean Monthly Value;mm;4.9;3.1;2.3;6.7;12.5;39.5;72.2;59.2;26.8;7.6;9.5;12.3;256.6
RUSSIAN FEDERATION (ASIA);NERCINSKIJ ZAVOD;30879;1961-1990;Mean Monthly Value;mm;4.6;3.8;7.3;22.0;29.0;70.5;124.0;99.5;47.3;13.1;8.1;5.5;434.7
RUSSIAN FEDERATION (ASIA);KYRA;30949;1961-1990;Mean Monthly Value;mm;1.7;1.7;2.3;11.1;25.7;56.2;125.9;101.3;40.2;10.3;3.3;2.4;382.1
RUSSIAN FEDERATION (ASIA);BORZJA;30965;1961-1990;Mean Monthly Value;mm;2.3;2.9;4.0;9.8;18.2;44.6;91.8;75.3;36.8;7.7;4.2;3.8;301.4
RUSSIAN FEDERATION (ASIA);ALDAN;31004;1961-1990;Mean Monthly Value;mm;26.5;21.8;27.2;35.8;56.8;88.7;87.4;97.0;86.7;61.5;37.5;31.1;658.0
RUSSIAN FEDERATION (ASIA);OHOTSK;31088;1961-1990;Mean Monthly Value;mm;11.2;8.8;10.7;26.9;49.5;52.3;75.7;81.5;78.4;51.2;24.5;17.9;488.6
RUSSIAN FEDERATION (ASIA);AJAN;31168;1961-1990;Mean Monthly Value;mm;19.3;13.9;26.0;55.3;76.8;95.7;147.5;161.1;150.0;76.9;34.1;35.9;892.5
RUSSIAN FEDERATION (ASIA);BOMNAK;31253;1961-1990;Mean Monthly Value;mm;5.8;4.8;11.2;40.7;51.4;80.4;130.5;114.7;78.2;36.0;19.7;10.6;584.0
RUSSIAN FEDERATION (ASIA);EKIMCAN;31329;1961-1990;Mean Monthly Value;mm;7.9;5.6;11.9;41.0;67.2;86.9;143.0;131.3;75.8;38.7;23.9;13.7;646.9
RUSSIAN FEDERATION (ASIA);NIKOLAEVSK-ON-AMUR;31369;1961-1990;Mean Monthly Value;mm;31.1;31.3;32.6;37.9;49.9;39.7;72.2;82.0;88.2;79.7;50.6;45.7;640.9
RUSSIAN FEDERATION (ASIA);IM POLINY OSIPENKO;31416;1961-1990;Mean Monthly Value;mm;8.9;7.0;10.2;29.4;39.1;57.1;87.8;86.3;71.7;40.3;19.4;15.0;472.2
RUSSIAN FEDERATION (ASIA);BLAGOVESCENSK;31510;1961-1990;Mean Monthly Value;mm;5.2;5.1;11.7;32.5;47.1;90.3;133.7;131.5;70.5;21.5;13.8;9.8;572.7
RUSSIAN FEDERATION (ASIA);EKATERINO-NIKOL'SKO;31707;1961-1990;Mean Monthly Value;mm;5.1;6.7;10.0;25.6;54.8;94.6;142.0;149.7;73.1;32.2;15.8;10.4;620.0
RUSSIAN FEDERATION (ASIA);HABAROVSK/NOVY;31735;1961-1990;Mean Monthly Value;mm;15.4;10.8;17.5;43.5;59.0;82.4;145.0;154.0;90.0;51.5;22.9;18.6;710.6
RUSSIAN FEDERATION (ASIA);CAPE ZOLOTOJ;31829;1961-1990;Mean Monthly Value;mm;15.0;26.4;45.4;64.3;82.2;109.1;101.9;132.2;130.6;79.6;54.4;24.4;865.5
